,Open,High,Low,Close,Adj Close,Volume
2020-01-01,135.36833559891966,137.5637898974826,132.93519789021795,135.85027024493422,135.85027024493422,80936184
2020-01-02,133.3038105115377,135.13810458158994,132.74974481431576,133.43437056015907,133.43437056015907,41570437
2020-01-03,130.56974488674095,131.82397258779037,129.52046930448478,130.74427648117884,130.74427648117884,34484628
2020-01-04,128.32004704010222,130.12346444439115,124.79225514095175,128.34296685575237,128.34296685575237,24298572
2020-01-05,126.94091026874163,129.1090414286605,123.67675008898323,126.44427919087342,126.44427919087342,20076444
2020-01-06,130.28523507990695,131.64765380398086,128.5054985008123,130.19383525496886,130.19383525496886,39800118
2020-01-07,119.12871517585421,120.4837925838997,118.19139550630469,119.40593931075902,119.40593931075902,61763804
2020-01-08,120.4723218434467,121.1343816245234,119.61393314619468,120.36288918205605,120.36288918205605,48699507
2020-01-09,126.58945311420274,129.16694547286997,125.10777829190002,126.9480736350472,126.9480736350472,41521976
2020-01-10,125.6206893601203,126.73043899349184,123.9670116572505,125.79077771813512,125.79077771813512,77703363
2020-01-11,129.72484921979876,132.78600045357248,128.21459466966934,129.65366561780158,129.65366561780158,45194229
2020-01-12,129.1164192889784,130.3754800830677,125.52931866025924,129.14589450384133,129.14589450384133,72703001
2020-01-13,133.0850894834095,136.2362695887744,131.74946030461982,133.21373706233626,133.21373706233626,78988793
2020-01-14,136.7289069511251,139.1297805055122,135.8327348119675,136.9654417952438,136.9654417952438,97443363
2020-01-15,137.21778564742908,138.7085634742982,133.59779690202006,136.05868480271477,136.05868480271477,22933659
2020-01-16,134.00926512685012,135.70179357563313,131.99094780369737,133.91230406931427,133.91230406931427,28436171
2020-01-17,130.0962785452593,131.13281192349532,127.35584445632706,130.0308135751559,130.0308135751559,38003107
2020-01-18,132.94945596992397,135.12287071343857,131.92799119648018,132.94269945039434,132.94269945039434,53669127
2020-01-19,131.10667148003998,132.24528688968462,128.84220517811917,131.01803246823036,131.01803246823036,66458336
2020-01-20,127.87266488569918,129.67735306416316,125.9778247479688,127.97470398073443,127.97470398073443,75794720
2020-01-21,129.07527208731847,130.44103410635495,128.48295541894402,129.43750890619822,129.43750890619822,89657503
2020-01-22,133.59441033077368,135.61393210146525,132.65537634777763,133.7819545810962,133.7819545810962,59621160
2020-01-23,135.6359444537764,136.63903751611258,132.11407781223463,135.5917720190731,135.5917720190731,74774322
2020-01-24,135.3955125678645,136.83114513418906,133.26618352046623,135.70036433980198,135.70036433980198,25694569
2020-01-25,138.87127161305014,140.63586178706697,136.30503753659616,138.29168490698717,138.29168490698717,22858088
2020-01-26,139.45844834072966,142.20756428194971,137.62392731388522,139.5564274885616,139.5564274885616,93378105
2020-01-27,139.33377368470946,139.8305676285933,137.20817991267143,138.89848957732053,138.89848957732053,83370837
2020-01-28,139.2097559339128,140.07827010487972,136.92309557377143,139.27189854862914,139.27189854862914,89102929
2020-01-29,140.24168071803447,142.3607998257216,136.9032591358678,140.77311413238505,140.77311413238505,96618718
2020-01-30,141.50505081988857,143.89892295465833,140.33209717001847,141.51334434531867,141.51334434531867,30440207
2020-01-31,136.6348708221113,139.44198551923435,135.5664925836865,136.84348932889452,136.84348932889452,95243656
2020-02-01,132.30936007097964,133.00745342232594,130.7103961066348,132.23648796157363,132.23648796157363,68665241
2020-02-02,128.85818124261885,130.80655915767917,127.31964673138263,129.32003485807843,129.32003485807843,95362852
2020-02-03,129.74724527558772,131.51964775754482,128.18830818867804,129.58509386547664,129.58509386547664,55765588
2020-02-04,129.96062004953765,131.7703683924981,127.54865247952583,129.9900267393924,129.9900267393924,59847130
2020-02-05,133.52117068295937,137.1062734027092,133.5317390483452,134.31009476327358,134.31009476327358,86938571
2020-02-06,133.8843603084853,135.11933324688633,132.29622801540887,133.85977181434004,133.85977181434004,22086792
2020-02-07,136.53931898549573,137.5497490754324,131.74138219720638,135.7316824025246,135.7316824025246,94387975
2020-02-08,136.53889107957102,137.8135662081063,135.62312307410153,136.79718041232047,136.79718041232047,69559193
2020-02-09,133.92707602364663,136.64029901687252,131.06496723973925,133.87449093794078,133.87449093794078,24785186
2020-02-10,136.70220570448512,138.0382524172852,134.47005232979515,136.43636499298802,136.43636499298802,57216815
2020-02-11,133.09786125337703,135.38305649911518,132.1407818523601,133.33365016301502,133.33365016301502,68519737
2020-02-12,132.5517580357311,133.4822642790407,130.90067404040127,132.4057333612478,132.4057333612478,85750142
2020-02-13,128.55804399610483,129.84542710905788,127.86399482873512,128.92243477770313,128.92243477770313,59213908
2020-02-14,131.2061849695535,132.75492019661206,129.78738561787074,131.31313351674183,131.31313351674183,95470762
2020-02-15,130.80389060551954,131.75865498686602,129.7750227299843,130.73676119191916,130.73676119191916,94226055
