,Open,High,Low,Close,Adj Close,Volume
2020-01-01,129.85374746571065,132.9991615078209,127.3773669252534,129.15417931110275,129.15417931110275,58786300
2020-01-02,133.9134939253552,135.11318199000777,131.78825473898155,133.33561367964026,133.33561367964026,46251260
2020-01-03,135.26732241797805,138.79411320164786,131.55778176787214,134.8212023766196,134.8212023766196,69441916
2020-01-06,134.38195443309357,136.87118445565508,131.95429768703454,134.9098181406168,134.9098181406168,40878437
2020-01-07,134.19792634383,138.2885441131877,132.51764010786528,135.29665243492397,135.29665243492397,38297506
2020-01-08,142.12025680239105,146.5427217901478,138.5193083526392,142.61400284482283,142.61400284482283,55450709
2020-01-09,135.72552505896323,139.1224938094741,132.17447035344648,136.08847380126264,136.08847380126264,34634107
2020-01-10,137.99374844924208,140.8508339416427,134.79154292595044,138.16458869748757,138.16458869748757,35540789
2020-01-13,138.01274554246828,141.3751054972134,136.50824781892194,139.12240544436588,139.12240544436588,16747601
2020-01-14,138.01252412978522,142.48534706292293,135.72758731628943,139.05948949070716,139.05948949070716,55821619
2020-01-15,138.4160959209479,140.74973099278114,135.86052834462794,138.4567793972395,138.4567793972395,46947062
2020-01-16,133.00273097650387,135.30974088217295,130.81442936966076,132.94911887032498,132.94911887032498,54222581
2020-01-17,133.432096645145,135.50938109711115,130.91602378039275,133.097772566414,133.097772566414,46685805
2020-01-20,135.59735448593867,136.69002704822654,131.05080606129133,134.8721038161941,134.8721038161941,36409063
2020-01-21,135.54954403733535,139.20448731080822,134.32069456518673,136.706117775415,136.706117775415,50101581
2020-01-22,131.3705745007439,135.29105899288803,128.50722940974228,131.7795940172461,131.7795940172461,43607874
2020-01-23,131.12400285240733,133.95137694957327,128.40384893638233,131.93802286622665,131.93802286622665,41483825
2020-01-24,128.65577031252357,130.32371165987698,125.04577066870215,127.76240844973303,127.76240844973303,32890196
2020-01-27,129.5283452090204,131.84608595529005,126.51842390187439,128.97512932130962,128.97512932130962,57390766
2020-01-28,128.93197792111278,131.56736316331956,125.27086414666667,128.21107114182198,128.21107114182198,58945007
2020-01-29,129.8070201007126,133.82988520627143,127.08222553235716,130.21524355581724,130.21524355581724,54324008
2020-01-30,126.22878709371774,130.87810749818743,125.2789913349365,127.48100767378236,127.48100767378236,44497272
2020-01-31,128.06848021989637,129.74817762890888,124.41090804100011,127.45949398390533,127.45949398390533,34852663
2020-02-03,125.16943183172143,128.14695230807112,123.74497785551014,125.59197081331851,125.59197081331851,28617291
2020-02-04,123.74517341584398,126.48387571262818,122.23280489991568,124.73131310328037,124.73131310328037,46205796
2020-02-05,125.31758481866183,126.17034439385705,123.28025132124385,124.66319886622058,124.66319886622058,64843680
2020-02-06,123.5863935873215,125.66857268634047,121.3453770419245,123.66015964376767,123.66015964376767,47101380
2020-02-07,120.7941974767621,124.41322677813747,119.30744745066342,121.10949235528365,121.10949235528365,78262719
2020-02-10,122.1787781894395,124.73775711823772,121.08292774518331,122.98424857139547,122.98424857139547,30525406
2020-02-11,125.93809233741317,127.70323551820209,122.23878838248797,125.08187102399046,125.08187102399046,26678719
2020-02-12,131.15560742977934,134.09297952546842,128.0258068320056,130.36212776166118,130.36212776166118,58402776
2020-02-13,131.26173235020957,135.1638366839318,129.47464446533903,131.5853984944149,131.5853984944149,45467733
2020-02-14,133.58756308321517,137.52137741213735,132.47421966893955,134.75256813001758,134.75256813001758,51555060
2020-02-17,133.59672121528828,135.39209203975588,131.68815702180572,133.34755061016952,133.34755061016952,35032759
2020-02-18,130.51871556879993,133.3945898291481,128.15541130208715,130.52546993951378,130.52546993951378,76279087
2020-02-19,127.75776111481491,131.4343935924166,124.26238653271913,127.72325185783933,127.72325185783933,59330913
2020-02-20,131.85330727557056,134.971974920075,129.44735810534945,131.13051762236012,131.13051762236012,72723938
2020-02-21,129.9353452186759,134.9463564186286,129.06307907034133,131.03781308667055,131.03781308667055,53482744
2020-02-24,133.62917488341503,136.43204244561608,129.59683267474597,132.771477778086,132.771477778086,42848189
2020-02-25,134.4616141669326,137.66506512880815,131.43001416984296,134.08684618544834,134.08684618544834,67093311
2020-02-26,135.76997545546087,137.7990337623307,132.5783141436182,134.94818878095413,134.94818878095413,52023383
2020-02-27,132.65746532796106,134.01804514357454,130.19940139090446,132.33908812201045,132.33908812201045,26304925
2020-02-28,134.05774736853536,135.54747303994276,130.5208541909779,132.84555564693056,132.84555564693056,50024601
2020-03-02,132.34743677258274,134.58445310013715,129.7583641667481,132.99648773566463,132.99648773566463,28311629
2020-03-03,133.14313609710624,135.413899907038,130.6357340484509,132.65420199842893,132.65420199842893,58758704
2020-03-04,138.81009513260105,144.17049236760144,137.61432559167704,140.08455719541217,140.08455719541217,58142782
2020-03-05,139.53161053123557,140.53031144206074,134.96064243341178,138.6902662401263,138.6902662401263,68513057
2020-03-06,138.37981709964325,139.77208213141674,135.06114039343657,138.01499116018897,138.01499116018897,60394464
2020-03-09,136.41252953939195,137.36261800247522,132.91091886151474,135.55271132395393,135.55271132395393,55442296
2020-03-10,136.41673732410297,139.5219400452844,134.0399031235514,135.97019578705775,135.97019578705775,66055541
2020-03-11,137.03792042900915,137.9077777550854,134.18059562630054,136.17426251700846,136.17426251700846,49229591
2020-03-12,138.71799160335067,139.21055604825034,135.69944789715805,137.37781603583613,137.37781603583613,55490885
2020-03-13,134.4925699069128,137.62756134862678,132.5383626728407,134.07358609836035,134.07358609836035,83340841
2020-03-16,139.2094102022075,140.41921829954126,135.86457801478085,137.83392504379893,137.83392504379893,48170250
2020-03-17,138.53724248622456,143.35563621450197,136.31130573251954,139.26488381550172,139.26488381550172,27637303
2020-03-18,138.18311398500722,140.5149214946066,136.1129056481724,138.88590764523022,138.88590764523022,30123064
2020-03-19,143.6447730698766,144.56859748849806,140.31291744756598,142.30010648666837,142.30010648666837,58058608
2020-03-20,139.25218154666103,143.40047798557856,136.3583753380922,139.9766041466746,139.9766041466746,70208105
2020-03-23,140.30785589583422,144.1562916226343,137.40008239315026,140.24450881951685,140.24450881951685,64769412
2020-03-24,139.9876325386062,143.4830910190449,135.67179645540125,139.4726318752099,139.4726318752099,59847586
2020-03-25,144.30261046904576,147.28696533263565,139.34406681464642,143.17540861191546,143.17540861191546,48518034
2020-03-26,142.07046423232953,144.18151763774176,138.39867495728188,142.38861576733277,142.38861576733277,51219852
2020-03-27,140.0047887897032,144.21072752753457,139.84023747884842,141.35260881541006,141.35260881541006,56407092
2020-03-30,142.8292545519533,145.08344077912486,140.75490496685532,142.60901932564096,142.60901932564096,42284223
2020-03-31,135.61381254171508,138.42014107771607,134.76685937062916,136.22910088885874,136.22910088885874,65679315
2020-04-01,137.18722309364156,140.42960529273947,133.69650099374545,137.10285354398172,137.10285354398172,41440793
2020-04-02,137.80627606862035,141.51409546055905,134.4546638678814,137.9079324888972,137.9079324888972,73257371
2020-04-03,138.11922425058773,142.5179171306728,134.88408117370338,138.5507479336579,138.5507479336579,59959491
2020-04-06,137.60917874781939,142.76884945780688,135.27505247233776,138.92904942420202,138.92904942420202,41930820
2020-04-07,142.12721954109253,145.57544839307326,139.3299338812627,141.59959059000374,141.59959059000374,51878329
2020-04-08,136.9751943575918,141.7623674297932,134.5374134599243,137.86020730033505,137.86020730033505,54578785
2020-04-09,137.87632905513098,140.3262048246395,135.68355101481296,137.85615040454746,137.85615040454746,75259884
2020-04-10,133.84229239597846,136.2835025679194,129.765518195611,132.73712688337193,132.73712688337193,44939034
2020-04-13,130.28167065752712,132.79149414813642,126.06610525166195,129.02482464096795,129.02482464096795,66785877
2020-04-14,125.00804913313188,126.46830390928295,123.14598102762463,125.03348542652645,125.03348542652645,39848559
2020-04-15,127.60910845520851,132.2117046155947,125.94071547069106,128.8865413709365,128.8865413709365,56993173
2020-04-16,127.48930406958586,130.52353057679963,124.50081906134416,128.02745749424508,128.02745749424508,68871255
2020-04-17,128.67046874100058,133.06454025228678,127.25456027542288,129.57802170761607,129.57802170761607,60848559
2020-04-20,135.7800414732317,137.17336827509334,132.65749707866138,135.18454837269692,135.18454837269692,14189032
2020-04-21,131.83504744695577,133.38355874601268,129.71630893011513,131.76566761612543,131.76566761612543,61917109
2020-04-22,131.86383549765677,135.11947242076585,130.70152274338088,132.64059361466454,132.64059361466454,57860351
2020-04-23,132.12535807279258,135.19530194055426,130.15813909615633,133.17304315456985,133.17304315456985,28210598
2020-04-24,130.2931396551757,131.20631706581392,128.3748908763838,129.68900671065376,129.68900671065376,55832127
2020-04-27,128.0946689082155,132.6930271102859,127.71392167723143,129.12629780698973,129.12629780698973,49157344
2020-04-28,129.51536092382918,133.83666441487304,126.99989923819636,130.06068908530307,130.06068908530307,55433692
2020-04-29,133.92373691089566,136.71303024130196,130.12963124713244,133.47072529854208,133.47072529854208,47862589
2020-04-30,131.23327151630554,135.15635256266262,130.55225531525346,132.44797514445594,132.44797514445594,55587121
2020-05-01,127.66751753448841,128.10502178859716,123.51523766192872,126.68037511994396,126.68037511994396,44897974
2020-05-04,128.68207575596216,130.05802256792586,125.00936754433539,128.12736137484458,128.12736137484458,93600214
2020-05-05,125.99748687134974,130.33316554515585,124.83064475747918,127.1537913636024,127.1537913636024,62870818
2020-05-06,128.1056044476807,131.9961929991715,126.4841115393431,128.3417133092253,128.3417133092253,68893238
2020-05-07,130.7093134219715,132.25997883878566,127.77389707466762,130.1526733864455,130.1526733864455,32991030
2020-05-08,133.5619624935944,137.31706682854687,132.46160491256785,134.10806414420665,134.10806414420665,42208781
2020-05-11,132.89507416555824,135.44889703988383,129.25321890175658,132.4276659956863,132.4276659956863,53283509
2020-05-12,129.4159618424263,134.30212005671606,128.5733085300582,130.4156032829632,130.4156032829632,45343898
2020-05-13,130.48780985106384,131.7221233341293,127.40493956976276,130.03970917935897,130.03970917935897,69251987
2020-05-14,130.70630635750746,131.79100330616944,127.30355723035963,129.5286498856087,129.5286498856087,44870375
2020-05-15,129.23241129776957,131.52159306029355,126.68419865556045,128.7890690884857,128.7890690884857,50224980
2020-05-18,131.7621294223734,132.515955089411,127.45177455546444,131.16318855125783,131.16318855125783,45493177
2020-05-19,126.53240173510592,130.986790104738,124.72291892132434,127.19337185691961,127.19337185691961,50395304
2020-05-20,124.32086211750065,126.41012476452927,123.09272410704399,125.08432214235192,125.08432214235192,44373263
2020-05-21,128.8397501389099,132.22556728318523,125.76040153685798,128.39474773477312,128.39474773477312,35373304
2020-05-22,129.51674307815503,132.18134980777654,128.55565742315204,130.72078813211084,130.72078813211084,28498640
2020-05-25,128.19211833102526,130.82217703390174,125.9294740857306,128.46918438191963,128.46918438191963,51553568
2020-05-26,128.3711072528724,130.81693050301533,127.51041921561158,129.0159716904141,129.0159716904141,47430342
2020-05-27,135.0144168733271,137.95867830024156,132.75337753070576,134.88764373611508,134.88764373611508,49816408
2020-05-28,141.2291004312148,145.18591431087347,140.16680006741254,142.17133271909844,142.17133271909844,15268979
2020-05-29,137.9650414857433,142.32212299502032,135.01122542757125,138.57279655848555,138.57279655848555,45092711
2020-06-01,139.62766994646367,142.47650634119444,135.50476222540402,139.19841884975804,139.19841884975804,37387477
2020-06-02,134.81977004995778,136.37218827435132,131.72537665394537,134.3069750707396,134.3069750707396,68041576
2020-06-03,135.57577065201818,137.87468484480232,133.02331560895723,135.41337209780158,135.41337209780158,55823208
2020-06-04,136.46552477124578,139.06018095643242,133.47534367277302,135.2286192933013,135.2286192933013,87277860
2020-06-05,136.813169322867,137.5607441052822,132.93930787416525,135.5106901737926,135.5106901737926,22528569
2020-06-08,139.72138141022714,141.22422500429954,136.42175218520393,138.44450784075016,138.44450784075016,25140377
2020-06-09,141.1182074919491,143.13182751333267,137.98409680239425,140.2078119792273,140.2078119792273,47059523
2020-06-10,139.8701704324153,142.3846907954076,135.2641609199324,139.21034241470286,139.21034241470286,46357312
2020-06-11,137.66171887368748,141.03423301658503,134.350410375366,138.43589974189638,138.43589974189638,50644346
2020-06-12,133.99376973669806,138.01465825748005,131.62430777554727,134.82632434536154,134.82632434536154,51558766
2020-06-15,137.30211141671472,140.661432494127,134.9975890089003,137.16663549391566,137.16663549391566,60884729
2020-06-16,140.5303819339398,142.85152502326588,135.64718084398194,139.42425080379488,139.42425080379488,50374793
2020-06-17,137.32980462181388,140.04772231230712,134.2969407970029,137.08953364755044,137.08953364755044,48199708
2020-06-18,136.872487363945,140.51203925981588,135.6723683308524,137.36431968812312,137.36431968812312,54279750
2020-06-19,138.39544249320497,139.6348552824526,133.97279634390537,137.78658562971228,137.78658562971228,21401852
2020-06-22,136.64520926262233,139.21904971260756,134.59631018550076,136.8102297375691,136.8102297375691,52047666
2020-06-23,136.04145662060316,137.12547340960924,132.8416858675428,135.1175221063123,135.1175221063123,21644820
2020-06-24,138.88678365436024,142.97798202894612,136.66152072146224,139.13565290054675,139.13565290054675,59561580
2020-06-25,135.42952998191964,137.5301942287472,132.9259636428535,135.74720274265135,135.74720274265135,83298756
2020-06-26,136.38833905487408,140.28508521702057,134.1809211771592,137.35507970766156,137.35507970766156,29172382
2020-06-29,137.56900857827756,141.1454555218483,136.39885787147253,138.6325434063298,138.6325434063298,24802996
2020-06-30,136.89562272321615,140.12516341807674,134.03255716297127,136.67059122990673,136.67059122990673,45342993
2020-07-01,136.47558094924196,139.44277190558955,133.39896957999477,136.1452710149487,136.1452710149487,51396586
2020-07-02,138.8302761020289,139.80216434356623,134.67380577460668,138.25734274940703,138.25734274940703,62565565
2020-07-03,140.96761389647307,142.5844082413381,138.71040189765364,140.38323037107602,140.38323037107602,26350417
2020-07-06,141.17877793440906,142.1373932630702,136.80523259322106,140.25267178877252,140.25267178877252,32699568
2020-07-07,141.51118898508827,144.56331813382573,141.26639215497457,142.8842964749101,142.8842964749101,88270356
2020-07-08,144.2887110435682,144.3776612917969,141.4140951561024,142.9397256880988,142.9397256880988,26765865
2020-07-09,147.82569821039237,151.69866779360143,144.80780991345523,148.24856445617212,148.24856445617212,44179764
2020-07-10,148.4610187446661,153.46689348393528,147.55720056521645,149.19342966318231,149.19342966318231,53734814
2020-07-13,150.61218520555514,155.74565094848074,148.31681122624892,151.31478507436893,151.31478507436893,61635240
2020-07-14,152.8000346816252,156.43141716644985,148.46280144667654,152.40693908427755,152.40693908427755,46734700
2020-07-15,153.51893646503675,155.99210314008218,151.60559099326227,154.0923075350033,154.0923075350033,55985269
2020-07-16,147.8518919007641,151.6347309838462,145.44985339003307,149.12049458797225,149.12049458797225,39009620
2020-07-17,149.27706866489123,154.22185974017236,148.20058240492654,149.99217849234518,149.99217849234518,54879793
2020-07-20,141.24213534413002,143.83413247906523,139.77292031973346,141.31487532591498,141.31487532591498,52093311
2020-07-21,140.502022687426,144.8255208377928,139.40518194735947,141.62327900667054,141.62327900667054,46878727
2020-07-22,143.81020059686693,147.04429770493556,141.1147776333682,144.69635627357837,144.69635627357837,49070009
2020-07-23,148.02057346904078,151.28815652692208,146.17456408417289,147.6981989041097,147.6981989041097,34119235
2020-07-24,144.88332153822319,146.65133161349402,142.27392584305449,144.3203018147207,144.3203018147207,53898476
2020-07-27,146.87628024535783,151.5065861747301,143.7074468229567,147.67562504979662,147.67562504979662,35282797
2020-07-28,148.36881201804366,150.43626254862207,145.74211342857637,147.8406316256079,147.8406316256079,17709171
2020-07-29,147.45807074901055,148.68786834553046,144.69052725665927,146.42445720034547,146.42445720034547,74448591
2020-07-30,140.21132060955046,142.48598775099998,137.10438553806196,140.85841181128305,140.85841181128305,65388397
2020-07-31,142.3927760470311,146.5205764324902,141.29384014224698,143.0932819464266,143.0932819464266,47170206
2020-08-03,144.15658969543276,148.04828552378666,141.0084949812939,143.8050021912805,143.8050021912805,28696680
2020-08-04,138.33928029932997,141.78744986377785,136.31129928427603,138.99908541779553,138.99908541779553,41611872
2020-08-05,138.91372079041034,141.32394869357205,136.99266809967637,138.72064359526874,138.72064359526874,74223954
2020-08-06,136.82737761103726,138.27241069294362,133.59690283156814,136.05475060540843,136.05475060540843,63974007
2020-08-07,134.965692210045,136.6219196717987,132.18824025114125,133.6862114234449,133.6862114234449,48540962
2020-08-10,134.90370258168002,137.74115704677843,130.27934233889005,134.18051757577538,134.18051757577538,61015661
2020-08-11,129.59302713653076,133.25615210435086,127.11049334002878,130.80653096582105,130.80653096582105,37966755
2020-08-12,133.56227113960773,137.09316426898272,130.5904818658262,133.43222816836052,133.43222816836052,84021833
2020-08-13,137.47100108642454,139.09065373757522,133.97187796404046,136.5285026764975,136.5285026764975,70144545
2020-08-14,135.96296367359142,139.97467206333675,134.36200833475039,136.9210134367323,136.9210134367323,9455988
2020-08-17,136.86026773673572,139.2834532135968,134.39746600542475,136.9988867902711,136.9988867902711,52920177
2020-08-18,134.70524315190175,136.29036981710465,130.86884763154617,134.00261174543718,134.00261174543718,57557564
2020-08-19,132.8203925796958,135.56224778278974,131.85739285549172,133.80299080250919,133.80299080250919,34162290
2020-08-20,133.6553594030226,136.3605273876574,129.2235222715986,132.60406360140493,132.60406360140493,20831302
2020-08-21,129.15665689548854,130.65242423571553,124.7328117945553,128.2448609645096,128.2448609645096,36219352
2020-08-24,129.39963592121728,130.3079571606234,124.46156493629795,128.13988273845555,128.13988273845555,47522451
2020-08-25,130.73968074770502,131.78597915823087,126.39000266212835,129.69864688803318,129.69864688803318,18379460
2020-08-26,133.41441377334016,135.22609385620478,130.5859492638401,132.4037164999657,132.4037164999657,66256899
2020-08-27,131.61702725766932,136.0003859337735,130.5821974194129,132.50597305630643,132.50597305630643,50182846
2020-08-28,132.48498466344446,133.48182817310618,129.29313203996912,131.35518129453342,131.35518129453342,32501565
2020-08-31,128.89316214985132,132.16543638399156,127.68639272468805,129.19215290812934,129.19215290812934,40473025
2020-09-01,127.56909265755839,129.88421177204506,124.99570136123228,127.66146088971337,127.66146088971337,28249059
2020-09-02,126.46850384178586,128.83052725789432,124.01426130822617,126.88086023539643,126.88086023539643,26057585
2020-09-03,125.00835433314155,129.54897004077114,124.15203977138152,125.9397589327045,125.9397589327045,77379386
2020-09-04,122.96264069109495,125.97535427764656,119.74145472100095,123.03455174260947,123.03455174260947,41588862
2020-09-07,117.12486026075338,117.58636203416899,113.94425569416228,116.01620601530666,116.01620601530666,61645705
2020-09-08,114.67713487875588,116.22302656466806,112.14486436562045,114.19914441403822,114.19914441403822,72254185
2020-09-09,108.30293925845821,111.21624512128405,107.13549884425869,109.22881051220793,109.22881051220793,66246733
2020-09-10,107.01089156353869,108.89847847410635,105.49033800183503,107.62697356254364,107.62697356254364,44923057
2020-09-11,112.51515274588999,114.14490670570964,110.10109337776626,112.93634084485669,112.93634084485669,56967762
2020-09-14,113.06007155138926,115.66337131997437,111.68412646983631,113.76011079627855,113.76011079627855,67028183
2020-09-15,111.70509671147693,114.44653986440923,109.77108895233582,111.73067575343151,111.73067575343151,67179607
2020-09-16,111.78668936077439,113.19178213616695,109.18516917502491,111.07153948801373,111.07153948801373,75739681
2020-09-17,111.3576927062589,113.87795575963835,108.91234485618573,110.71878216785014,110.71878216785014,21048648
2020-09-18,106.75339417628264,107.95911698519414,105.59263968287523,106.71476196433036,106.71476196433036,28542076
2020-09-21,105.96850472544506,107.26696058164444,104.5608833582166,105.66793365002337,105.66793365002337,44373762
2020-09-22,103.86045419126317,106.68443694457353,102.28951116196993,104.2940607965273,104.2940607965273,54627680
2020-09-23,101.76728718471152,105.06140913461725,99.66332291496423,102.02324993370853,102.02324993370853,17142837
2020-09-24,102.59497583230025,105.82340676280104,100.8352770970878,102.88095019820851,102.88095019820851,44795969
2020-09-25,99.43052414187368,102.25261229991342,97.92681398375082,99.73874117022486,99.73874117022486,76472550
2020-09-28,98.59590302961952,100.50060284724539,95.68270116643268,98.48514983537868,98.48514983537868,73373054
2020-09-29,98.05607733963727,100.10705829646203,96.99280378973263,98.71536544481808,98.71536544481808,32729935
2020-09-30,98.46106015901064,100.66791669814967,97.54982403806152,99.2611840470414,99.2611840470414,44926927
2020-10-01,98.22902710689716,101.40677691646383,96.80162479296679,99.2197204178574,99.2197204178574,30233962
2020-10-02,102.97723366214129,103.86521081636151,100.58487840028938,102.2481585404563,102.2481585404563,61714598
2020-10-05,101.31862840092148,103.95318192997705,100.19471502717259,102.00640914182326,102.00640914182326,90321532
2020-10-06,102.60756383320073,104.54813489010996,99.21671798216808,101.87838962601947,101.87838962601947,58200812
2020-10-07,102.49940640704938,104.69231530438607,99.5583712627021,102.3831700467337,102.3831700467337,60016444
2020-10-08,101.01254905658978,102.36340623797777,99.48427328455826,100.80847338973824,100.80847338973824,31088047
2020-10-09,104.32723316717139,105.29795673212388,102.03050841460694,103.44299172215834,103.44299172215834,25582414
2020-10-12,103.06339022625954,105.4137135529414,102.69431527537701,104.08293386507899,104.08293386507899,69586802
2020-10-13,102.65168590145262,103.95739083461787,99.16323239513446,101.9486518216131,101.9486518216131,68506361
2020-10-14,100.95432133898004,102.97338476348239,99.11925732682457,101.52516489870155,101.52516489870155,29952269
2020-10-15,103.41020151027486,104.82927535497902,101.91437410685033,103.56580926306758,103.56580926306758,49268917
2020-10-16,101.56920858687312,105.07551504755024,99.7319362491277,102.22061263770766,102.22061263770766,63891270
2020-10-19,104.66364421790936,106.83904441575025,102.79145827971114,104.3108332747539,104.3108332747539,65949302
2020-10-20,100.04281163075223,103.25832479518988,99.29060555597329,100.78196827443195,100.78196827443195,51001211
2020-10-21,103.57773751724267,106.94760131379469,101.7686975046905,104.5273282605384,104.5273282605384,65650173
2020-10-22,103.08002995805973,105.09445752219898,102.45254859552193,103.67665720439223,103.67665720439223,63280872
2020-10-23,103.18473016319899,106.79323599678479,101.69087612019844,103.95530322204448,103.95530322204448,3076893
2020-10-26,105.88263381218256,107.32078130801695,103.39740798866421,104.91777647244548,104.91777647244548,30053757
2020-10-27,105.81193752945379,109.04305247216064,104.34562597053029,106.48027637795113,106.48027637795113,66447479
2020-10-28,108.04999640499196,109.90781019241346,105.95661222456157,107.46354458511583,107.46354458511583,50820470
2020-10-29,106.24880570801066,108.64288302613052,103.2768285451828,106.04933126355746,106.04933126355746,43237481
2020-10-30,100.9927708874282,102.38138457751937,100.17554103927012,101.32159602818676,101.32159602818676,67635690
2020-11-02,98.97022565486472,99.72563070048311,95.94269890845881,98.64625658059863,98.64625658059863,35840440
2020-11-03,97.88548600816715,100.80630196379079,96.92833502532423,98.75521788373955,98.75521788373955,65949995
2020-11-04,98.28236953739531,101.73010079840438,97.7565728172413,98.78699694217804,98.78699694217804,27979001
2020-11-05,101.04862818768187,103.41127182986584,100.51492450698332,101.61291939662053,101.61291939662053,71066757
2020-11-06,104.04245922633707,105.12592836615673,101.32999108860794,103.46247765017388,103.46247765017388,18011592
2020-11-09,104.64397450682799,106.68294202220153,102.52387229500187,105.1732162675162,105.1732162675162,47148269
2020-11-10,106.05770746523534,108.71071972154058,104.1962874235538,106.9170129363821,106.9170129363821,58263206
2020-11-11,107.18203561208988,109.99710078888826,106.2053050185061,107.48661292803197,107.48661292803197,44410261
2020-11-12,107.58383988413046,109.5986179055111,104.81343408719012,107.8404738878363,107.8404738878363,57726963
2020-11-13,105.07957485802345,108.76099593619963,104.49976186152129,105.92188814135082,105.92188814135082,58200834
2020-11-16,105.2863036034183,107.61766991908087,103.75468821910586,105.17111779766385,105.17111779766385,57021196
2020-11-17,104.50615996181182,105.91969679278755,101.3881608744459,104.43110338502105,104.43110338502105,63553647
2020-11-18,104.48837064198244,106.27518425996367,102.5595630059692,104.83292725410922,104.83292725410922,48521321
2020-11-19,106.44570911730563,109.69299927369,104.15386917958209,107.20111438398594,107.20111438398594,41116500
2020-11-20,107.99697553552063,110.92212667371362,105.80432516766231,108.25621399281586,108.25621399281586,60058786
2020-11-23,105.91293435174993,109.16019428311078,103.92772523724952,106.95609062604811,106.95609062604811,35708618
2020-11-24,106.71980705970877,110.91727562622965,104.62577023805775,107.69248237785878,107.69248237785878,30949543
2020-11-25,110.61582032453653,112.91760465808531,106.9599453169601,110.26317251909347,110.26317251909347,52335577
2020-11-26,113.27214801692406,115.22018301268064,111.24273272267297,113.83446079482214,113.83446079482214,55506983
2020-11-27,111.34266031833766,113.67997558542957,108.74879745747837,111.01830508117223,111.01830508117223,35651151
2020-11-30,109.70577977706581,113.79327168842426,109.39246382306938,110.77356912789968,110.77356912789968,45620348
2020-12-01,106.50171662681258,110.3178078931593,104.32737931295942,107.33164599305664,107.33164599305664,69820187
